,RegionID,Parameters,MSE,AIC,Output
74,96446,"(1, 0, 2)",3098232.9853513446,1873.0916453617415,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c2c2076a0>
75,91729,"(1, 0, 2)",364864.6188338211,1569.7695137895169,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c26316dd8>
76,96027,"(1, 0, 2)",23115807.53377449,2079.1320717008275,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c2b60a748>
77,91678,"(2, 1, 2)",382067.7014947231,1569.0229687184826,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c2a5ae828>
78,62034,"(1, 0, 2)",9878562.034243923,1913.6578797975253,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c232b9828>
79,95996,"(6, 0, 0)",2849467.5910621854,1720.2314668721963,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c23735630>
80,62079,"(10, 0, 1)",1521554.3030915402,1654.470232478076,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x10eed24a8>
81,62019,"(2, 2, 2)",4700039.175371646,1806.9125562099355,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c2a5a6be0>
82,96046,"(1, 0, 2)",1760129.9297841373,1818.9112034822479,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c2c49f390>
83,62093,"(2, 0, 2)",2124329.1454858934,1778.4860173486459,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c2a5ae400>
84,62180,"(10, 0, 1)",2779602.746482686,1758.5953804951487,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c2c4fd550>
85,62008,"(1, 0, 2)",12200796.817429375,1916.9889347953892,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c2c207ac8>
86,91685,"(1, 0, 2)",425904.9686397531,1564.5195802222413,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c2b60ac50>
87,62107,"(6, 2, 2)",620897.3304240002,1615.4258425886828,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c2afb05c0>
